id,created_at,username,likes_count,replies_count,retweets_count,language,tweet,hashtags
1355665370837708801,2021-01-30 17:53:06 Central Standard Time,distrackers,259,29,19,en,First look at Death Metal Batman (Guitar Solo).  https://t.co/RdYwcfqfYi,[]
1355655921402318853,2021-01-30 17:15:33 Central Standard Time,davidgokhshtein,402,35,46,en,$XRP doing that Superman thing again. 🔥,[]
1355655854188593152,2021-01-30 17:15:17 Central Standard Time,thealexrossart,1041,13,125,und,#age 10 and #today  #arteducation #Batman #Superman #wonderwoman #comics #SaturdayMotivation @SalAbbinanti  https://t.co/OfiIwTDHvW,"['age', 'today', 'arteducation', 'batman', 'superman', 'wonderwoman', 'comics', 'saturdaymotivation']"
1355649881847820288,2021-01-30 16:51:33 Central Standard Time,bronzeagebabies,289,6,45,en,Neal Adams - Batman Family  https://t.co/6AIA8l0OF9,[]
1355638882042306562,2021-01-30 16:07:50 Central Standard Time,saraporai,1219,5,6,pt,"@HeloSenaLopes @_anatriz sim d+, quando eu trampava numa loja de móveis ele apareceu do nada e comprou uma mesa de centro e criado mudo do Batman KKK",[]
1355638122097340416,2021-01-30 16:04:49 Central Standard Time,sketchedbat,1904,112,388,en,Robert Pattinson is The Batman.  A drawing by me.  @mattreevesLA @mattsontomlin @m_giacchino @jfreewright #TheBatman #Batman #Art #RobertPattinson  https://t.co/lypHORi0MT,"['thebatman', 'batman', 'art', 'robertpattinson']"
1355637649206349831,2021-01-30 16:02:56 Central Standard Time,magsvisaggs,250,21,23,en,"I wish batman had a twitter account because he would take it *so seriously*. I really think that vanity is a huge part of the decision to be a superhero, and Bats would love to have a big microphone to strike fear into the hearts of gotham.  instead he'd look like a crazy old man",[]
1355634403091865602,2021-01-30 15:50:02 Central Standard Time,qrpoficial,588,6,159,es,La evolución de Batman a través de los años #Batman  https://t.co/XA77lBcfAx,['batman']
1355632221030395907,2021-01-30 15:41:22 Central Standard Time,trungles,338,6,5,en,"I got this book when I was like eleven, and I’ve loved it to death, and my whole adulthood had me convinced I never liked Batman.  https://t.co/hqPo85xaJF",[]
1355632215359684609,2021-01-30 15:41:21 Central Standard Time,betomatrix69,262,24,72,es,"Si mira; realidad no es un medicamento, es una solución que le da súper poderes, por eso es así de cabrón y de chigón nuestro presidente 🦸🏻‍♂️  Y en la silla se puede ver el símbolo de Batman por que en realidad le regalo esos muebles que compro en ciudad gótica",[]
1355629777827278854,2021-01-30 15:31:40 Central Standard Time,nadirfotograf,673,3,22,tr,Antik kent Hasankeyf. Batman 1992  Fotoğraf: Ara Güler  https://t.co/URxLdqfAZ6,[]
1355626436070166531,2021-01-30 15:18:23 Central Standard Time,orhanmiroglu,160,2,23,tr,Batman İl-ilçe Tanıtım-Medya toplantımızı gerçekleştirdik.İl Başkanım Av. Akif Gür ve İl tanıtım başkanı Kadir Şeker ve kadın gençlik kolları başkanlarıma teşekkür ediyorum. Üç saat süren toplantımızdan çok keyif aldım ve başkanlarımdan çok şey öğrendim. @72akpartibatman  https://t.co/xwRgQ67AFY,[]
1355625598689927169,2021-01-30 15:15:03 Central Standard Time,classicmoviehub,214,49,29,en,"Scariest Batman Villain?  For me, when I was a kid, it was The Mad Hatter :)  https://t.co/0JOZAzDZqz",[]
1355620596353298432,2021-01-30 14:55:11 Central Standard Time,sketchedbat,687,8,54,en,SHE GOT THE CATWOMAN NAILS FROM THE BATMAN SET AYYYY  https://t.co/wvIBThUGCE,[]
1355619992775970816,2021-01-30 14:52:47 Central Standard Time,thespeedofforce,852,15,81,en,"So Bruce searching for Arthur, Lois mourning superman, superman awakening the motherboxes, and the history lesson are all contained within the first 30 or so minutes of the movie.  https://t.co/uTKbqyaGXU",[]
1355618034358992896,2021-01-30 14:45:00 Central Standard Time,ricardoalemanmx,330,29,58,es,"Batman, ¿El caballero de la noche de Palacio Nacional?  ▶  https://t.co/Kb5MSo155M  https://t.co/efcdW6PvZl",[]
1355608383999643652,2021-01-30 14:06:39 Central Standard Time,dc_da_depressao,460,6,17,pt,"Christopher Nolan teve que deletar uma cena de morte de ""Batman: O Cavaleiro das Trevas Ressurge"" por ser tão violenta que daria ao filme uma classificação para maiores de idade.  https://t.co/pGfvlgTJef",[]
1355605787461120002,2021-01-30 13:56:20 Central Standard Time,mindyleedoodles,1258,7,175,en,#PoisonIvy in a period drama. #characterdesign #fashiondesign  #dccomics #fanart #batman  https://t.co/zj1fF5RAvt,"['poisonivy', 'characterdesign', 'fashiondesign', 'dccomics', 'fanart', 'batman']"
1355605686718242817,2021-01-30 13:55:56 Central Standard Time,therainman222,183,7,1,en,@Glen_Superman @diabolicalpree Lol wtf did Terrance Howard do,[]
1355598109200576523,2021-01-30 13:25:49 Central Standard Time,_portraitman,707,106,43,en,Which color grade reminds you most of Batman?  https://t.co/ciy5UeZWWC,[]
1355595789247115264,2021-01-30 13:16:36 Central Standard Time,perlhack,274,8,114,en,“The Dark Web” sounds like if Batman and Spiderman were roommates and fought about what to call their lair,[]
1355592868967182336,2021-01-30 13:05:00 Central Standard Time,legrandjd,4277,59,319,fr,"Batman, c'est pour les gosses j’crois pas aux histoires de chauves-souris",[]
1355591511199653889,2021-01-30 12:59:36 Central Standard Time,jairocalixto,853,30,188,es,"BAIA BAIA Santos Pejes, Batman!!!",[]
1355588405459972099,2021-01-30 12:47:16 Central Standard Time,thecheckdown,835,11,60,en,When Jay Ajayi went full Superman at the Pro Bowl 😅 @JayTrain  https://t.co/Bjd2HEoeKe,[]
1355586736362049538,2021-01-30 12:40:38 Central Standard Time,dcine6,240,13,39,es,"El Batman más realista, El Batman que necesitábamos y merecíamos.  El llevo al Caballero Oscuro a una nueva dimensión en la gran pantalla.   No hay ni 1 sola interpretación de superhéroe que pueda compararse con lo mostrado por #ChristianBale en la gran pantalla.  #TheDarkKnight  https://t.co/FRA6ry7AWV","['christianbale', 'thedarkknight']"
1355584183511474181,2021-01-30 12:30:29 Central Standard Time,afcstuff,1215,10,127,en,"Bernd Leno doing his best Superman impression in goal tonight.  What a save, @Bernd_Leno! #afc  https://t.co/AXWZN28JV4",['afc']
1355582585901096966,2021-01-30 12:24:08 Central Standard Time,detectivcomiccs,347,10,92,pt,o batman chegando na torre de vigilância depois de vazar os planos pra derrotar cada membro da liga justiça   https://t.co/JbBelqHwaL,[]
1355582053727809536,2021-01-30 12:22:01 Central Standard Time,tulokthe,348,11,44,en,"All of Batman's villains represent different aspects of himself.  The Joker is the antithesis of Batman's need for order.  Ra's Al Ghul's immortality clashes with Batman's desire to cheat death to save his parents.   Killer Croc is a giant fucking crocodile, thats sick as hell.",[]
1355580358624948230,2021-01-30 12:15:17 Central Standard Time,batcreators,210,2,27,sv,Batman/Predator by Matt Wagner  https://t.co/WGJaZusm2F,[]
1355570288675717120,2021-01-30 11:35:16 Central Standard Time,comicsinthega,2183,17,422,en,Superman with Superman comics.  https://t.co/NAhFuPifli,[]
1355567902167076867,2021-01-30 11:25:47 Central Standard Time,diazepamzzzz,238,7,6,en,My bf suggested it would be hot if I took photos of me sucking his dick in a ski mask for my onlyfans...bitch I look like fuckin Batman this ain’t cute  https://t.co/35YMIUuL6w,[]
1355564449889996805,2021-01-30 11:12:04 Central Standard Time,oneperfectshot,1190,9,168,en,"BATMAN: THE ANIMATED SERIES (1994)  Written by Paul Dini Directed by Bruce Timm From ""Heart of Ice"" Part of #SaturdayMorningCartoons Explore a list of the ten best episodes from this series:  https://t.co/aO61lI4MdE  https://t.co/akOhoBWePn",['saturdaymorningcartoons']
1355563380086632454,2021-01-30 11:07:49 Central Standard Time,silveragetv,268,18,33,en,"Remembering #DavidWayne (RIP), whose many television roles included the ""Mad Hatter"" on the ABC superhero series #Batman and Inspector Richard Queen on NBC's detective series #ElleryQueen, born this day in 1914.  https://t.co/BKy4hWfmv3","['davidwayne', 'batman', 'elleryqueen']"
1355563109654663169,2021-01-30 11:06:45 Central Standard Time,jamolestina,1102,26,134,es,. @EnnerValencia14 ganando en confianza paso a paso.  Ahora con enorme tiro libre.  A seguir así querido Supermán 💪🏻💪🏻💪🏻  https://t.co/4L4DIwAi1X,[]
1355561411620065288,2021-01-30 11:00:00 Central Standard Time,dcsuperman,479,13,39,en,That's not good... 😨 What did you think of #DCFutureState: BATMAN/SUPERMAN #1?  https://t.co/KkENLJ4jSC,['dcfuturestate']
1355561331605168132,2021-01-30 10:59:41 Central Standard Time,chalo_vargasr,474,11,68,es,Superman 🚀 🚀 @EnnerValencia14  🔥 @Fenerbahce  https://t.co/LDMNAvfd5a,[]
1355557238853799936,2021-01-30 10:43:25 Central Standard Time,mymixtapez,331,76,38,en,In a fight for the richest superhero who do you got Batman or IronMan?🔥👀  https://t.co/q0x8MQqi1k,[]
1355555272232730626,2021-01-30 10:35:36 Central Standard Time,thealexrossart,3363,45,495,en,Age 10 and Now. #jla #kidsart #artinschools #arteducation #Superman #Batman #wonderwoman #comics @comics_mercury @salcomicbookpro  https://t.co/f0SzsuyMIu,"['jla', 'kidsart', 'artinschools', 'arteducation', 'superman', 'batman', 'wonderwoman', 'comics']"
1355552124579540995,2021-01-30 10:23:06 Central Standard Time,amagicwriter,1744,16,148,en,Henry Cavill as Superman to bless your weekend  https://t.co/VOunzC9evF,[]
1355552032409612288,2021-01-30 10:22:44 Central Standard Time,flickaholic,194,4,24,de,Superman Neuer saves another shot by Hoffenheim.  https://t.co/NakoMXD6dz,[]
1355546540589383686,2021-01-30 10:00:54 Central Standard Time,dcbatman,1309,8,193,en,A hero forged in darkness rises from the shadows. Discover the legend of the Batman 🦇 Learn more here:  https://t.co/ScZCHhwBvD  https://t.co/JkTB9yfijK,[]
1355546371382792197,2021-01-30 10:00:14 Central Standard Time,oneperfectshot,2736,17,383,en,"BATMAN: THE ANIMATED SERIES (1992)  Written by Michael Reaves Directed by Kevin Altieri From ""Feat of Clay Part II"" Part of #SaturdayMorningCartoons Explore a list of the ten best episodes from this series:  https://t.co/aO61lI4MdE  https://t.co/lT8YCGToRV",['saturdaymorningcartoons']
1355536492056219649,2021-01-30 09:20:59 Central Standard Time,gjing_superman,311,85,83,en,"I'm at this place yabelungu in Pretoria, I won't say the name. There's no alcohol ban here, they're even playing karaoke.   I'm singing ek is 'n loslappie with boers kuyimanje.",[]
1355533943869558789,2021-01-30 09:10:51 Central Standard Time,nolongerusingz,326,0,83,en,return of superman isn’t allowed to end until minho becomes a DAD that’s the mf rule,[]
1355533327663570947,2021-01-30 09:08:24 Central Standard Time,sinemori,374,6,14,tr,Christian Bale'ın yeni #Batman Robert Pattinson'a bazı tavsiyeleri var.  (📹: extratv)  https://t.co/IiHTM4VVww,['batman']
1355530960654258182,2021-01-30 08:59:00 Central Standard Time,pabloplanovsky,1819,36,359,es,"Cumple años Christian Bale, uno de los más talentosos, camaleónicos y mejores actores de las últimas décadas. Ningún rol le queda grande: - American Psycho - American Hustle - The Dark Knight - Ford V Ferrari - Vice - The Fighter - The Big Short - The Prestige - Batman Begins  https://t.co/9PnJ38WbtX",[]
1355530752499310593,2021-01-30 08:58:10 Central Standard Time,bilalisgoren,1528,12,81,tr,"Pandemiden önce bir lokanta sahibi sokakta dolaşan, bir şeyler satan çocukları toplayıp ziyafet vermiş👏  Örnek olması dileğiyle...  Yer: Batman    https://t.co/3MfL6QnAfx",[]
1355529128959733764,2021-01-30 08:51:43 Central Standard Time,baseballchickie,606,50,18,en,Danny DeVito’s Penguin needs to get more credit. That fucker was awesome. #Batman,['batman']
1355519699409317892,2021-01-30 08:14:15 Central Standard Time,tittiesnkittens,256,10,54,en,That time Adam West showed up in #MemphisWrestling but “SuperKing” @JerryLawler wasn’t about to back down from Batman. As a child I went crazy to see this on my tv on Saturday morning.   #Batman #MemphisHeat #ProWrestling #AdamWest #Legend  https://t.co/1qIX3nhH6K,"['memphiswrestling', 'batman', 'memphisheat', 'prowrestling', 'adamwest', 'legend']"
1355517362485796865,2021-01-30 08:04:58 Central Standard Time,flamepics,702,4,262,en,MINHO FILMING RETURN OF SUPERMAN???????  https://t.co/nkIz9dPSXd,[]
1355510098353860609,2021-01-30 07:36:06 Central Standard Time,albinokid,423,69,12,en,"Top 6 games I’ve loved, @davidblue? (Alphabetical order)  Batman: Arkham City  Bioshock  Bloodborne The Last of Us Limbo Mass Effect 2  How about you, @GameOverGreggy, @andymientus, @AlexBoniello, @extspace, @ianaIexander, @thejamessnyder?",[]
1355508074111500291,2021-01-30 07:28:03 Central Standard Time,oneperfectshot,700,5,86,en,"BATMAN: THE ANIMATED SERIES (1992)  Written by Paul Dini Directed by Eric Radomski From ""Almost Got 'Im"" Part of #SaturdayMorningCartoons Explore what episodes of this series to watch now that it's on HBO Max:  https://t.co/aO61lI4MdE  https://t.co/WDpmVmnPvP",['saturdaymorningcartoons']
1355508026833301506,2021-01-30 07:27:52 Central Standard Time,sdesaskia,192,20,8,es,Así  soy yo!! Veo algo de Batman y tiene que ser mío.  5 años tengo.  https://t.co/fk1Gaw5ID6,[]
1355492522664079363,2021-01-30 06:26:15 Central Standard Time,dc_da_depressao,687,10,40,pt,"Hoje é aniversário do Christian Bale, o cara que ao lado do Nolan foi responsável por transformar o Batman nos cinemas!  Ele, que interpretou o herói em 3 filmes que arrecadaram quase 2,5 bilhões de dólares, está completando 47 anos hoje!  https://t.co/LvfMgR4gFI",[]
