id,created_at,username,likes_count,replies_count,retweets_count,language,tweet,hashtags
1476688946314809346,2021-12-30 16:57:35 Central Standard Time,fazeclan,6560,3259,501,en,"Next up for our end of year giveaways, we've got a mousepad and keycaps from our collaboration with Batman 🦇  To be entered to win, just like this tweet and reply with #FaZeUp  https://t.co/Csy8o31Ztf",['fazeup']
1476664998487330819,2021-12-30 15:22:25 Central Standard Time,diogofrotasz,37462,192,4868,pt,"Boa noite, moça, me vê 4 ingressos para The Batman  https://t.co/xQAJ2r3SkF",[]
1476664331601330186,2021-12-30 15:19:46 Central Standard Time,ayrezmariana,5458,225,325,pt,"Homem-aranha: acredita na reabilitação e ressocialização de criminosos, é contra pena de morte e contra sistema carcerário.   Eu ainda amo o Batman, mas fica difícil  pra ele mesmo..",[]
1476659328706830342,2021-12-30 14:59:53 Central Standard Time,thumbseinerd,4776,75,455,pt,"""BATALHA MORTAL"" BATMAN ( COM PREPARO APÓS TER LIDO A BÍBLIA) VS DEUS.  https://t.co/W5zqltu7Ir",[]
1476527768196235271,2021-12-30 06:17:07 Central Standard Time,dailyarkhammeme,2839,48,175,en,He looks like a live action Arkham Batman and i love it.  https://t.co/uxNx3xsN0K,[]
1476526859051585541,2021-12-30 06:13:30 Central Standard Time,cbmcringe,4094,35,168,en,Mf it’s Batman not Giganta 🥴  https://t.co/nvQwXlOf6k,[]
1476394864694595584,2021-12-29 21:29:00 Central Standard Time,modakune,9037,14,652,en,"@babyboymonaghan She was a nunja, I know cause batman said so XD  https://t.co/7foGeMoJt6",[]
1476380670675062786,2021-12-29 20:32:36 Central Standard Time,andrewkent2003,3482,85,412,en,If Nightwing had a proper live action film adaptation that was a faithful adaptation he’d easily be as popular as Spider-Man/Batman/Superman in terms of the general audience,[]
1476371752615874564,2021-12-29 19:57:10 Central Standard Time,thaboyjozu,5030,23,261,en,Gunna look like he’s going to cause havoc for Batman and the citizens of Gotham,[]
1476245917573517314,2021-12-29 11:37:08 Central Standard Time,flashfilmnews,4180,141,526,en,"On November 4th, there will be madness within the DC multiverse ⚡️ #TheFlash #TheFlashmovie #Batman   [The Flash in the of Multiverse of Madness by @TheImgHobbyist]  https://t.co/PwFpYjn0aW","['theflash', 'theflashmovie', 'batman']"
1476244799699263497,2021-12-29 11:32:42 Central Standard Time,cquill97,6868,3,64,en,"@TonyGSmoke ""Why is a random thug the same size as the Batman""  https://t.co/wsphbgX35d",[]
1476184994565410827,2021-12-29 07:35:03 Central Standard Time,moviemenfes,2752,135,287,in,"Ngeliat korea yg drama nya menyimpang sejarah langsung bikin petisi biar gak tayang, kalo di indo batman nyasar di jaman majapahit kayaknya cuman dianggap lelucon aja🤔 mvs   https://t.co/EPvCdf3BNG",[]
1476178047896326148,2021-12-29 07:07:27 Central Standard Time,danmora_c,9698,52,1139,en,"detective comics 1046, my last issue is out today #batman 😔💔  https://t.co/TZCqXZJm6g",['batman']
1476115787068985352,2021-12-29 03:00:03 Central Standard Time,ign,8074,81,630,en,"The Batman will officially come to HBO Max on April 19, 2022 – 45 days after it hits theaters.  https://t.co/26DvSpNGSd  https://t.co/eAvQdcxsuH",[]
1476044375004168194,2021-12-28 22:16:17 Central Standard Time,misterpatches,3182,28,158,en,For whatever reason it's hard to believe Batman Begins came out a year after Raimi's Spider-Man 2.,[]
1475958050821443585,2021-12-28 16:33:15 Central Standard Time,sketchedbat,4640,35,236,en,I hope there's a one-take Batman fight scene in The Batman.,[]
1475930361846591489,2021-12-28 14:43:14 Central Standard Time,csmfht,4133,24,379,en,"You know, the nipples on Batman's costume have a deep historical link all the way back to Ancient Rome  https://t.co/KNaU283Wim",[]
1475921606203555847,2021-12-28 14:08:26 Central Standard Time,blackmajikman90,4786,75,396,en,He. Doesn't. Want. To. Be. Batman. Anymore.,[]
1475912187147427852,2021-12-28 13:31:01 Central Standard Time,uberfacts,4716,25,329,en,"""The Dark Knight"" (2008) was the first Batman movie without the word 'Batman' in its title",[]
1475888875054714886,2021-12-28 11:58:23 Central Standard Time,mhaj94,4942,5,383,fr,On dirait que c’est ninho qui c’est inspiré de batman là,[]
1475883369351323654,2021-12-28 11:36:30 Central Standard Time,batmancurated,3244,5,579,in,Batman by Dan Mora  https://t.co/jY1v3chTCg,[]
1475881250212745229,2021-12-28 11:28:05 Central Standard Time,gaspardooo,16926,118,1161,fr,J'ai recréé la pochette de Ninho avec Batman sur photoshop  https://t.co/dKGonBcJYN,[]
1475848640744857608,2021-12-28 09:18:30 Central Standard Time,zoekravitzgif,4174,25,655,ht,zoe kravitz as catwoman in the batman  https://t.co/vU09RHNhzP,[]
1475813580654190593,2021-12-28 06:59:11 Central Standard Time,batmanfiles,2735,4,240,en,Batman on film has never looked better  #TheBatman  https://t.co/UPzkHG1FhI,['thebatman']
1475761578460909568,2021-12-28 03:32:33 Central Standard Time,thebatmantheme,1925,62,541,en,robert pattinson as bruce wayne in the batman (2022) https://t.co/ADGkiTCwDb,[]
1475684419289628674,2021-12-27 22:25:57 Central Standard Time,itshdgilbert,2598,12,394,en,Twilight fans                   The Batman fans                                                              🤝           Robert Pattinson w no shirt  https://t.co/SBoGIOaD9B,[]
1475662816682164225,2021-12-27 21:00:06 Central Standard Time,originalfunko,5755,154,8954,en,RT and follow @OriginalFunko for the chance to WIN a @Gamestop exclusive DCeased Batman Pop! #Funko #FunkoPop #Giveaway #Batman #DC  https://t.co/F4FduxIOU1,"['funko', 'funkopop', 'giveaway', 'batman', 'dc']"
1475656613667164170,2021-12-27 20:35:27 Central Standard Time,favredhood,2222,28,73,pt,ir assim pra pré estréia de the batman  https://t.co/QB778Zuau1,[]
1475649764964413442,2021-12-27 20:08:14 Central Standard Time,peterjordan100,6519,158,214,pt,Esse filme do Batman ta prometendo ser o melhor de todos,[]
1475641495206068228,2021-12-27 19:35:23 Central Standard Time,cbmshots,3419,10,478,en,The Batman  https://t.co/CdOPFKPXjx,[]
1475640037228392450,2021-12-27 19:29:35 Central Standard Time,thatbmanguy,9941,184,872,en,Imagine being the fucking loser who gets upset that one of the main characters in the Batman comics is one of the main characters in the  Batman movie.  https://t.co/HUMYMDMHHi,[]
1475639867916763136,2021-12-27 19:28:55 Central Standard Time,cbmshots,2568,4,295,en,The Batman  https://t.co/NkGBBpP3Zd,[]
1475630436336357380,2021-12-27 18:51:26 Central Standard Time,cbmshots,5137,34,751,en,The Batman  https://t.co/v92tz8lqbL,[]
1475627594611499011,2021-12-27 18:40:09 Central Standard Time,cbmshots,2476,15,360,en,The Batman  https://t.co/gdjASDbyOl,[]
1475623320280174593,2021-12-27 18:23:09 Central Standard Time,cbmshots,8348,47,1364,en,The Batman  https://t.co/hy42dsMsbY,[]
1475602867947905029,2021-12-27 17:01:53 Central Standard Time,batmanfiles,4822,30,699,en,The most Batman thing I've ever seen  #TheBatman  https://t.co/9JllW51teK,['thebatman']
1475594786677665795,2021-12-27 16:29:47 Central Standard Time,spidercomicxs,4523,27,688,pt,"the batman na pré estréia unindo crepusculetes, emos e nerdolas. o um bilhão vem",[]
