id,created_at,username,likes_count,replies_count,retweets_count,language,tweet,hashtags
1502755390240571400,2022-03-12 15:16:19 Central Standard Time,kylehzrt,0,0,0,en,"By the way, that projection site has:  Cleveland State at Tulane Youngstown State at DePaul Green Bay at Toledo   https://t.co/MiqTqpz9im",[]
1502755309273681923,2022-03-12 15:16:00 Central Standard Time,thedepaulia,0,0,0,en,"DePaul basketball players played hard this season, winning individual awards and breaking Big East records.  https://t.co/gmuCyeZRCe",[]
1502752175843426304,2022-03-12 15:03:33 Central Standard Time,matthew_carter1,0,0,0,en,Huge thanks to the incredible  work and dedication of #Depaul Ukraine and support from #Depaul Slovakia. Working to provide vital  #humanitarian  assistance in #Ukraine @Depaulintl,"['depaul', 'depaul', 'humanitarian', 'ukraine']"
1502751300911607811,2022-03-12 15:00:04 Central Standard Time,femluvr19,0,0,0,en,@newsmax Said who?,[]
1502750951328948226,2022-03-12 14:58:41 Central Standard Time,bannersparkway,5,2,2,en,"In going 4-10 down the stretch, Xavier gave away the following 2nd half win probs: -69% (Marq. 1/23) -80% (Prov. 1/26) -92% (DePaul 2/5) -80% (StJ 2/16) -85% (Prov. 2/23) -98% (Butler 3/9)",[]
1502750361227980801,2022-03-12 14:56:20 Central Standard Time,pauld198,1,0,1,en,"Not gerontophobia here, but past 70 and under medications, older politicians may become a tail risk.",[]
1502749476171108354,2022-03-12 14:52:49 Central Standard Time,pauld198,0,0,0,und,@chigrl 1.✅ 2.✅ 3.✅,[]
1502748675449233409,2022-03-12 14:49:38 Central Standard Time,sannl04,0,0,0,en,"@WIBC_EricBerman @jakequery When I was in school it was DePaul. I went to DePauw -  when answering 'where do you go to school' lots of ""Oh, the bb school"". No, the other one - with a W.  While more people outside of Indiana or Illinois (DePaul) were familiar with DePauw, but in that era many confused the 2.",[]
1502747309615943680,2022-03-12 14:44:12 Central Standard Time,montanagrizsb,4,0,0,en,Seattle defeated DePaul 3-1 in today’s opener. Montana and Seattle will start at the top of the hour. Dana Butterfield gets the start.  https://t.co/J8Zwaoe3Rc,[]
1502742066429788161,2022-03-12 14:23:22 Central Standard Time,depaulujobs,0,0,0,en,"In addition to doing meaningful work, qualified DePaul faculty and staff get a great retirement match, tuition waivers and generous time off. Apply today! Senior Internal Auditor (Hybrid)  https://t.co/TH9mWfXgBq #Chicago, #ChiTown","['chicago', 'chitown']"
1502740085019660293,2022-03-12 14:15:30 Central Standard Time,depaulsb,0,0,0,en,Final.   DePaul will return to action to face Seattle in the weekend finale on Sunday at 11 a.m. CT  #BlueGrit  https://t.co/D3RyMHy6A1,['bluegrit']
1502739705133215750,2022-03-12 14:13:59 Central Standard Time,shannagilkeson,1,0,3,en,"Hey, #FanStudies #FandomStudies scholars! CFP for #MPCA2022 at DePaul University October 14-16.  Abstracts due by April 30. Independent scholars are welcome!  #AcademicTwitter  @MidwestPCA   https://t.co/f8ATQTW3CH","['fanstudies', 'fandomstudies', 'mpca2022', 'academictwitter']"
1502739271546982402,2022-03-12 14:12:16 Central Standard Time,femluvr19,0,0,0,en,@ZTPetrizzo Saying a prayer.,[]
